shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
triangle,clean,largest,5132,464,1.125,0.29954394876305773,41.95167575993764,3.38998139074338,0.6787470904873583,141.8238343861849,1.0,58.85903836165942,0.8271311622571766,63975886,1608929.5580670303,0.06108910112344435
triangle,salt_pepper,full,10622,8748,1.0,0.001744209358582022,7204.622858218791,1.0807588671016533,1.0793475927488414,358.50383540486706,1.0,116.7246427764666,22.944219981013998,158260295,1265971.4509508554,0.011220476947239414
triangle,salt_pepper,largest,4694,2820,1.1428571428571428,0.0074174517961624106,1694.1627609714528,3.3427708531436546,0.6842969577985835,143.1258187749506,1.0,43.03905288217372,10.611080436609246,58633229,1484732.0830847886,0.06738479673008979
triangle,gaussian,full,7837,4747,1.0,0.00437040060225115,2875.3360979966824,1.138672597477054,1.1072730689819466,355.7091508522096,1.0,112.37250572283355,14.126532204155955,110523162,1105850.1389562339,0.01800514334608209
triangle,gaussian,largest,4926,1836,1.125,0.018363646237182424,684.3069427527406,3.3807365581326114,0.6773852495340515,141.8238343861849,1.0,46.44947574454186,6.379391320806931,61432862,1542172.807551766,0.06355419558024603
triangle,blur,full,5127,459,1.128440366972477,0.3058072732701073,41.092451726155645,3.380556460597891,0.6783357862432595,138.23530663329106,1.0,58.46568431990112,0.808323369309643,63878656,1598396.3795591977,0.06080759854595546
triangle,blur,largest,5127,459,1.128440366972477,0.3058072732701073,41.092451726155645,3.380556460597891,0.6783357862432595,138.23530663329106,1.0,58.46568431990112,0.808323369309643,63878656,1598396.3795591977,0.06080759854595546
triangle,erode,full,4668,440,1.1333333333333333,0.3029949278296933,41.4738646101114,3.3901016039894407,0.6785145947262569,133.76471881628578,1.0,55.96313683819947,0.8166962544442111,57679013,1329641.3650385614,0.06102008703713011
triangle,erode,largest,4668,440,1.1333333333333333,0.3029949278296933,41.4738646101114,3.3901016039894407,0.6785145947262569,133.76471881628578,1.0,55.96313683819947,0.8166962544442111,57679013,1329641.3650385614,0.06102008703713011
triangle,dilate,full,5612,480,1.1228070175438596,0.30608711756850554,41.05488239486814,3.379532605696012,0.6787469951446253,144.53373308677806,1.0,61.16712874539468,0.8074965381985793,70543125,1916212.2811831776,0.060842674248059524
triangle,dilate,largest,5612,480,1.1228070175438596,0.30608711756850554,41.05488239486814,3.379532605696012,0.6787469951446253,144.53373308677806,1.0,61.16712874539468,0.8074965381985793,70543125,1916212.2811831776,0.060842674248059524
triangle,rotate_15,full,5129,466,0.8455284552845529,0.2968046698274429,42.338857477091054,3.3830661287386197,0.9394641811813361,141.48498153514387,1.0,58.653219183501214,0.8355433054469588,68957248,1564310.0721388184,0.05946445508336919
